Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.63,     11.72,     11.37,     11.07,     10.55,     10.12,      9.71,      8.95,      8.92,      9.68,      9.71,      9.97,      9.94,     10.48,     10.41,     10.69,      9.46,      8.94,      8.00,      6.99,      6.09,      7.60,      6.93,      7.07,      6.13,,,
,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,     11.81,     11.23,     11.23,     11.07,     10.68,     10.74,     10.02,      9.12,      9.54,      9.45,      9.01,      9.35,      9.60,     10.13,     10.03,      9.72,      9.22,      8.84,      8.41,      7.95,      7.12,      6.40,      5.92,      5.64,      5.43,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,      3.69,      3.84,      3.81,      4.44,      4.30,      4.70,      4.70,      4.34,      4.41,      4.09,      4.31,      4.70,      4.36,      4.50,      2.37,      2.57,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      3.56,      3.38,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     16.40,     17.37,     17.01,     16.92,     17.17,     17.39,     17.24,     20.15,     20.96,     22.21,     23.89,     23.59,     23.44,     23.27,     22.91,     22.85,     22.01,     20.32,     19.58,     19.53,     19.56,     20.03,     19.15,     17.89,     17.42,     75.04,     73.58,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      8.21,      8.78,      8.84,      8.57,      8.24,      8.40,      8.57,      8.35,      8.64,      8.50,      8.71,      8.94,      9.43,      9.78,     10.06,     10.31,     11.33,     11.98,     12.19,     11.59,     11.78,     11.97,     11.99,     11.81,     12.00,     64.57,     65.43,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     58.31,     56.79,     57.66,     56.47,     58.43,     59.89,     55.80,     54.92,     57.74,     57.81,     57.19,     56.66,     53.37,     51.36,     49.77,     51.37,     49.96,     40.67,     39.03,     36.84,     36.42,,     32.36,     31.01,     29.98,     30.50,     28.54,
,World,Animal,Export,Export Product share(%),      1.93,      2.08,      1.97,      1.90,      1.91,      1.84,      1.89,      1.75,      1.63,      1.56,      1.67,      1.58,      1.89,      1.92,      1.94,      1.72,      1.70,      1.68,      1.79,      1.95,      1.99,      1.98,      2.05,      2.18,      2.07,      3.07,      2.84,
,World,Capital goods,Export,Export Product share(%),     30.74,     29.07,     28.90,     29.48,     29.05,     30.54,     31.35,     34.31,     37.46,     38.84,     38.90,     39.72,     40.35,     41.99,     43.18,     44.97,     44.86,     44.47,     43.31,     41.29,     40.36,     41.04,     40.60,     40.40,     39.92,     25.32,     25.99,
,World,Chemicals,Export,Export Product share(%),      9.89,      9.19,      9.42,      9.53,      9.90,     10.51,     11.01,      9.73,      9.26,      8.93,      8.91,      9.08,      8.57,      7.98,      7.49,      7.02,      7.21,      7.19,      7.29,      7.12,      7.41,      7.22,      7.11,      7.31,      7.48,      4.30,      4.40,
,World,Consumer goods,Export,Export Product share(%),     26.25,     26.94,     26.86,     26.22,     25.37,     24.89,     24.64,     24.81,     24.34,     24.65,     25.49,     24.76,     25.09,     24.37,     23.70,     22.83,     22.87,     22.16,     21.92,     22.13,     21.56,     22.74,     22.51,     21.40,     20.57,     22.97,     23.22,
,World,Food Products,Export,Export Product share(%),      3.00,      2.78,      2.78,      2.60,      2.51,      2.49,      2.62,      2.13,      2.08,      2.08,      2.12,      2.25,      2.45,      2.41,      2.44,      2.27,      2.47,      2.71,      2.77,      2.84,      2.79,      3.09,      3.13,      3.20,      3.10,      1.54,      1.39,
,World,Footwear,Export,Export Product share(%),      0.12,      0.11,      0.11,      0.10,      0.10,      0.10,      0.11,      0.10,      0.09,      0.10,      0.10,      0.10,      0.11,      0.12,      0.12,      0.12,      0.13,      0.14,      0.15,      0.15,      0.15,      0.17,      0.17,      0.16,      0.16,      0.08,      0.07,
,World,Fuels,Export,Export Product share(%),      9.61,     13.59,     13.24,     12.69,     12.76,     10.44,      9.26,     11.54,      8.17,      7.89,      7.84,      6.33,      5.82,      4.61,      5.06,      4.73,      3.25,      3.11,      3.84,      4.05,      3.60,      3.70,      4.11,      4.31,      4.74,     10.00,      9.19,
,World,Hides and Skins,Export,Export Product share(%),      0.35,      0.35,      0.38,      0.33,      0.32,      0.32,      0.28,      0.29,      0.34,      0.36,      0.38,      0.40,      0.40,      0.41,      0.42,      0.37,      0.35,      0.37,      0.43,      0.45,      0.47,      0.48,      0.50,      0.52,      0.54,      0.40,      0.45,
,World,Intermediate goods,Export,Export Product share(%),     20.91,     20.72,     21.71,     21.91,     23.16,     22.72,     21.55,     23.13,     22.88,     22.32,     21.97,     21.97,     20.88,     20.39,     20.25,     19.96,     20.46,     21.11,     21.51,     21.85,     23.19,     22.01,     22.33,     22.29,     23.23,     31.00,     33.21,
